date,open,high,low,close,volume,dividends,stock_splits,symbol
2020-12-07,135.20700073242188,139.1999969482422,135.1999969482422,138.57400512695312,1532000,0.0,0.0,SHOP.TO
2020-12-08,138.64300537109375,141.5,138.39999389648438,141.19000244140625,1685000,0.0,0.0,SHOP.TO
2020-12-09,140.02099609375,140.98500061035156,132.05799865722656,132.69500732421875,2589000,0.0,0.0,SHOP.TO
2020-12-10,130.00100708007812,136.5500030517578,129.99899291992188,135.9929962158203,1403000,0.0,0.0,SHOP.TO
2020-12-11,136.47900390625,137.49200439453125,132.6300048828125,134.96600341796875,1456000,0.0,0.0,SHOP.TO
2020-12-14,135.3090057373047,137.75900268554688,132.4510040283203,135.0260009765625,1887000,0.0,0.0,SHOP.TO
2020-12-15,134.02099609375,138.2729949951172,133.89999389648438,136.15699768066406,1996000,0.0,0.0,SHOP.TO
2020-12-16,136.4810028076172,148.41099548339844,136.4810028076172,147.46800231933594,3563000,0.0,0.0,SHOP.TO
2020-12-17,148.0,153.4250030517578,146.5919952392578,150.677001953125,3257000,0.0,0.0,SHOP.TO
2020-12-18,150.56700134277344,150.99899291992188,148.49600219726562,150.0919952392578,6332000,0.0,0.0,SHOP.TO
2020-12-21,148.52000427246094,154.5,147.45599365234375,153.74400329589844,2043000,0.0,0.0,SHOP.TO
2020-12-22,155.11099243164062,165.87899780273438,154.8000030517578,164.92300415039062,2896000,0.0,0.0,SHOP.TO
2020-12-23,163.02099609375,164.0,153.97799682617188,154.24600219726562,3078000,0.0,0.0,SHOP.TO
2020-12-24,155.61099243164062,159.0,155.31100463867188,156.81900024414062,911000,0.0,0.0,SHOP.TO
2020-12-29,149.86199951171875,153.5970001220703,147.0189971923828,150.0330047607422,2467000,0.0,0.0,SHOP.TO
2020-12-30,150.77099609375,151.0,146.46400451660156,148.2480010986328,1069000,0.0,0.0,SHOP.TO
2020-12-31,148.11199951171875,148.11199951171875,143.65499877929688,143.73199462890625,1469000,0.0,0.0,SHOP.TO
2021-01-04,145.25,145.30599975585938,137.8679962158203,139.61900329589844,1609000,0.0,0.0,SHOP.TO
2021-01-05,140.0989990234375,141.7570037841797,138.3820037841797,141.25599670410156,1597000,0.0,0.0,SHOP.TO
2021-01-06,139.3249969482422,140.64300537109375,136.85699462890625,137.60499572753906,1763000,0.0,0.0,SHOP.TO
2021-01-07,141.04100036621094,147.37600708007812,140.22900390625,147.08999633789062,1820000,0.0,0.0,SHOP.TO
2021-01-08,149.1219940185547,151.6719970703125,146.5260009765625,151.6719970703125,2078000,0.0,0.0,SHOP.TO
2021-01-11,150.00100708007812,155.85000610351562,149.0,150.24099731445312,1825000,0.0,0.0,SHOP.TO
2021-01-12,152.4429931640625,153.8990020751953,148.89999389648438,151.26600646972656,1249000,0.0,0.0,SHOP.TO
2021-01-13,152.00900268554688,152.64999389648438,149.05499267578125,152.3560028076172,1215000,0.0,0.0,SHOP.TO
2021-01-14,156.02099609375,156.02200317382812,147.9429931640625,148.8679962158203,2314000,0.0,0.0,SHOP.TO
2021-01-15,150.53799438476562,151.71499633789062,146.51600646972656,149.09500122070312,990000,0.0,0.0,SHOP.TO
2021-01-18,147.00100708007812,153.67100524902344,147.0,151.71200561523438,672000,0.0,0.0,SHOP.TO
2021-01-19,151.1840057373047,151.6280059814453,146.39999389648438,149.43899536132812,1597000,0.0,0.0,SHOP.TO
2021-01-20,149.51600646972656,153.5659942626953,149.2740020751953,151.73899841308594,1375000,0.0,0.0,SHOP.TO
2021-01-21,152.60000610351562,153.2989959716797,149.12100219726562,151.0850067138672,1138000,0.0,0.0,SHOP.TO
2021-01-22,150.6999969482422,152.77499389648438,149.70700073242188,152.25399780273438,839000,0.0,0.0,SHOP.TO
2021-01-25,153.11399841308594,158.64700317382812,149.0,153.66400146484375,1909000,0.0,0.0,SHOP.TO
2021-01-26,153.38600158691406,154.36900329589844,147.0,147.21200561523438,1230000,0.0,0.0,SHOP.TO
2021-01-27,146.96299743652344,146.96299743652344,138.5,139.77000427246094,3417000,0.0,0.0,SHOP.TO
2021-01-28,142.63499450683594,145.5240020751953,139.86000061035156,143.4029998779297,3074000,0.0,0.0,SHOP.TO
2021-01-29,142.8489990234375,143.47000122070312,138.4929962158203,139.4290008544922,2027000,0.0,0.0,SHOP.TO
2021-02-01,142.19900512695312,147.65899658203125,141.0,147.2449951171875,1228000,0.0,0.0,SHOP.TO
2021-02-02,149.35400390625,158.52999877929688,149.1219940185547,158.1320037841797,2598000,0.0,0.0,SHOP.TO
2021-02-03,157.7010040283203,159.21499633789062,153.32000732421875,156.21800231933594,2107000,0.0,0.0,SHOP.TO
2021-02-04,158.62399291992188,164.5,158.23500061035156,161.4459991455078,1856000,0.0,0.0,SHOP.TO
2021-02-05,162.69900512695312,165.6999969482422,160.5540008544922,164.38499450683594,1514000,0.0,0.0,SHOP.TO
2021-02-08,166.65499877929688,171.79400634765625,165.5,171.79400634765625,1836000,0.0,0.0,SHOP.TO
2021-02-09,173.92100524902344,184.54600524902344,173.1179962158203,182.2989959716797,2522000,0.0,0.0,SHOP.TO
2021-02-10,182.54800415039062,190.05799865722656,179.4239959716797,185.73399353027344,2081000,0.0,0.0,SHOP.TO
2021-02-11,186.39999389648438,187.43600463867188,182.86199951171875,185.80099487304688,1057000,0.0,0.0,SHOP.TO
2021-02-12,185.9510040283203,187.5,182.5,184.72000122070312,1130000,0.0,0.0,SHOP.TO
2021-02-16,186.718994140625,189.22900390625,181.79600524902344,185.60299682617188,1598000,0.0,0.0,SHOP.TO
2021-02-17,174.4949951171875,185.3000030517578,171.9499969482422,180.41799926757812,3277000,0.0,0.0,SHOP.TO
2021-02-18,176.09300231933594,179.68499755859375,175.0,175.55999755859375,1620000,0.0,0.0,SHOP.TO
2021-02-19,175.71400451660156,181.5,173.83599853515625,181.05799865722656,2015000,0.0,0.0,SHOP.TO
2021-02-22,177.02099609375,178.61599731445312,171.82899475097656,174.2259979248047,2663000,0.0,0.0,SHOP.TO
2021-02-23,160.08299255371094,166.3000030517578,152.78700256347656,163.7259979248047,2858000,0.0,0.0,SHOP.TO
2021-02-24,164.5500030517578,165.8000030517578,158.8979949951172,163.24400329589844,3119000,0.0,0.0,SHOP.TO
2021-02-25,161.63900756835938,164.73800659179688,153.88400268554688,157.24899291992188,3489000,0.0,0.0,SHOP.TO
