date,open,high,low,close,volume,dividends,stock_splits,symbol
2021-01-07,30.21591561300713,30.8274270931316,29.870591192471537,30.75548553466797,10484700,0.0,0.0,ENB.TO
2021-01-08,30.92815430452693,30.96412508979191,30.302251114457295,30.489303588867188,7759500,0.0,0.0,ENB.TO
2021-01-11,30.431742689577124,30.61879513050421,30.24469299304455,30.554046630859375,6591500,0.0,0.0,ENB.TO
2021-01-12,30.741098828295822,30.928151284440325,30.532464451978772,30.906566619873047,11678700,0.0,0.0,ENB.TO
2021-01-13,30.95692905392151,31.65477380928719,30.88498748393112,31.618803024291992,7498200,0.0,0.0,ENB.TO
2021-01-14,31.654768714703778,32.431750718646796,31.640379854142477,32.38858413696289,11852900,0.0,0.0,ENB.TO
2021-01-15,32.53966672699711,32.53966672699711,31.89937745395948,32.28786849975586,14490600,0.0,0.0,ENB.TO
2021-01-18,31.85620725921423,31.94254042254258,31.35261086177154,31.712324142456055,2922200,0.0,0.0,ENB.TO
2021-01-19,31.949734602963446,32.43175184309831,31.66196287054908,32.194339752197266,9668800,0.0,0.0,ENB.TO
2021-01-20,32.223118347788045,32.40297499932373,32.0720394191528,32.35261535644531,13776400,0.0,0.0,ENB.TO
2021-01-21,32.352609461946415,32.366998320775046,31.76987302916064,31.884981155395508,6396100,0.0,0.0,ENB.TO
2021-01-22,31.474909813421046,31.841816125998275,31.446132094365563,31.769874572753906,7012000,0.0,0.0,ENB.TO
2021-01-25,31.77707699486566,31.834632449937928,31.374199786940355,31.755495071411133,6890500,0.0,0.0,ENB.TO
2021-01-26,31.798655924064246,31.97851257211394,31.532468853381207,31.841819763183594,8228400,0.0,0.0,ENB.TO
2021-01-27,31.69074112641905,31.841820053503543,31.143978118896488,31.143978118896484,4892700,0.0,0.0,ENB.TO
2021-01-28,31.251894773030628,31.467724977945934,31.000096526489514,31.35980987548828,7088200,0.0,0.0,ENB.TO
2021-01-29,31.014481709525242,31.287864590754662,30.777069610048308,30.906566619873047,10135300,0.0,0.0,ENB.TO
2021-02-01,31.179956923581514,31.51089258551616,30.884992051962307,31.3094539642334,6884800,0.0,0.0,ENB.TO
2021-02-02,31.654775769429804,31.913769828464726,31.50369681645782,31.755495071411133,8125600,0.0,0.0,ENB.TO
2021-02-03,31.834635649003776,32.158378255330355,31.654778950421832,32.129600524902344,10129400,0.0,0.0,ENB.TO
2021-02-04,32.18715328152284,32.57564163208008,31.892188430406033,32.57564163208008,22647900,0.0,0.0,ENB.TO
2021-02-05,32.676350739751996,32.676350739751996,32.187143238201095,32.309444427490234,15594600,0.0,0.0,ENB.TO
2021-02-08,32.43894336504652,32.9425425007227,32.417361446675734,32.813045501708984,31440600,0.0,0.0,ENB.TO
2021-02-09,32.892184341771426,32.892184341771426,32.43894482482724,32.647579193115234,10246500,0.0,0.0,ENB.TO
2021-02-10,32.82024089397194,32.978515625,32.6979396886464,32.978515625,28177300,0.0,0.0,ENB.TO
2021-02-11,32.97485510186208,32.98218161750251,32.35199784584104,32.652435302734375,21964300,0.835,0.0,ENB.TO
2021-02-12,32.476562169734,32.53518546526267,32.00025767715763,32.2494010925293,17844200,0.0,0.0,ENB.TO
2021-02-16,32.33000794156216,32.68173934201856,32.25673161470934,32.32268142700195,25274700,0.0,0.0,ENB.TO
2021-02-17,32.388629626915446,32.59380556813939,32.02224242026553,32.102848052978516,14561400,0.0,0.0,ENB.TO
2021-02-18,32.02224501841321,32.1834535016064,31.736463421289187,32.029571533203125,10381100,0.0,0.0,ENB.TO
2021-02-19,31.94896818473584,32.08819713354219,31.765774553412097,32.022247314453125,14868700,0.0,0.0,ENB.TO
2021-02-22,32.1321614521253,32.60113949106527,31.978279474431368,32.417945861816406,17676400,0.0,0.0,ENB.TO
2021-02-23,32.53518098067827,32.86492718898141,32.04422073189271,32.82828903198242,7412900,0.0,0.0,ENB.TO
