date,open,high,low,close,volume,dividends,stock_splits,symbol
2021-01-25,143.16081820493122,144.09781566534994,141.98958130817334,144.00238037109375,9924400,0.0,0.0,JNJ
2021-01-26,147.22980650020983,150.65677937483807,146.96085610900144,147.90652465820312,14205700,0.0,0.0,JNJ
2021-01-27,146.72663492555054,148.28829763998675,145.27776300776586,145.6508331298828,14207300,0.0,0.0,JNJ
2021-01-28,145.92847647973778,148.23626654445215,145.58144615289942,146.76136779785156,8944400,0.0,0.0,JNJ
2021-01-29,142.5101362720555,144.0197456001784,139.29138913025315,141.52976989746094,22505900,0.0,0.0,JNJ
2021-02-01,143.4211131200858,143.4211131200858,141.06995470998746,141.16539001464844,9971400,0.0,0.0,JNJ
2021-02-02,141.7466807783343,141.98960461479632,139.8379745799095,139.89871215820312,11443300,0.0,0.0,JNJ
2021-02-03,139.6297116839614,140.13291466157924,138.44111953583484,139.2479705810547,8601900,0.0,0.0,JNJ
2021-02-04,139.68183829263586,140.62750718834272,138.6060230952562,140.54075622558594,7758100,0.0,0.0,JNJ
2021-02-05,143.03070240879168,143.53390554470704,142.16311353411464,142.67498779296875,9495300,0.0,0.0,JNJ
2021-02-08,143.178168445059,143.9503218927331,142.18044669119877,143.08273315429688,6035300,0.0,0.0,JNJ
2021-02-09,143.32565624393024,144.5316040549489,143.12611454180077,144.2539825439453,5544200,0.0,0.0,JNJ
2021-02-10,145.65948591400894,145.7028680025172,143.7594642871977,144.7224884033203,5921300,0.0,0.0,JNJ
2021-02-11,144.88731283954618,145.21700078168158,143.67269395539418,144.07177734375,4871300,0.0,0.0,JNJ
2021-02-12,142.6315836220036,144.75718662660069,142.2845534211958,144.52293395996094,4413100,0.0,0.0,JNJ
2021-02-16,144.52294495683935,144.93071275491042,142.83982055430846,143.212890625,5656100,0.0,0.0,JNJ
2021-02-17,143.12612358034414,144.0978187877504,142.59689388952017,143.72476196289062,6676700,0.0,0.0,JNJ
2021-02-18,143.11745598132606,144.1585599060832,142.54484418928547,143.79417419433594,5189100,0.0,0.0,JNJ
2021-02-19,143.6727504927521,143.98508307706342,141.33893385419796,141.399658203125,8190900,0.0,0.0,JNJ
2021-02-22,141.31234741210938,141.89725515827277,139.9330073589999,141.31234741210938,6447100,1.01,0.0,JNJ
2021-02-23,140.97186260528642,142.46469662745312,140.02902216827164,140.06394958496094,7042800,0.0,0.0,JNJ
2021-02-24,141.77500028845682,143.51227270207033,140.48296578978244,141.9408721923828,10286100,0.0,0.0,JNJ
2021-02-25,142.41231308086589,142.9099155209191,141.41709487985352,142.08929443359375,9719700,0.0,0.0,JNJ
2021-02-26,141.4257979062739,141.78373059181905,137.90761399933953,138.33538818359375,14417500,0.0,0.0,JNJ
2021-03-01,140.94566011238211,141.01550161811974,138.88538231628985,139.086181640625,10551400,0.0,0.0,JNJ
2021-03-02,139.48773877879398,140.36073752609946,138.45760665100735,138.8242645263672,7610900,0.0,0.0,JNJ
2021-03-03,138.15208488758682,138.71952888103718,136.2402150412097,136.37989807128906,8499600,0.0,0.0,JNJ
2021-03-04,136.1791145074807,136.2751449272861,132.2331554221678,133.6299591064453,11033200,0.0,0.0,JNJ
2021-03-05,134.42437958342424,136.790212686986,133.68233844091026,136.275146484375,8331600,0.0,0.0,JNJ
2021-03-08,137.06079425587032,139.09488280097852,136.17033186269913,137.4099884033203,6546700,0.0,0.0,JNJ
2021-03-09,136.96479381458056,140.33457002579672,136.96479381458056,137.6719207763672,7461300,0.0,0.0,JNJ
2021-03-10,138.64971196027741,139.59253918770546,137.37512751875605,138.9377899169922,6635600,0.0,0.0,JNJ
2021-03-11,139.27822557092946,140.22980440649457,138.73697056642635,138.9290313720703,6305600,0.0,0.0,JNJ
2021-03-12,139.05127663223132,139.95046451701606,138.97270992095667,139.3306427001953,5474800,0.0,0.0,JNJ
2021-03-15,139.46155542725228,140.255987515905,138.37030694973075,140.0464630126953,5524100,0.0,0.0,JNJ
2021-03-16,140.08142029623906,141.1464667821908,139.8893594575657,140.87583923339844,6369100,0.0,0.0,JNJ
2021-03-17,140.4043980601248,141.19009164872784,139.26949696032804,140.35202026367188,6001400,0.0,0.0,JNJ
2021-03-18,139.86314351588018,140.98058091346226,139.6448938160258,140.09011840820312,4801800,0.0,0.0,JNJ
2021-03-19,140.28219421132374,140.98932118312635,139.21713449646603,139.71473693847656,14891500,0.0,0.0,JNJ
2021-03-22,138.204418003298,140.24723170423516,137.93379054559728,140.1162872314453,7544100,0.0,0.0,JNJ
2021-03-23,139.86314751870893,140.72740782948816,138.7020574837451,139.98536682128906,7178300,0.0,0.0,JNJ
2021-03-24,139.76711850614637,141.84484667068625,139.52267989855343,141.3472442626953,6370100,0.0,0.0,JNJ
2021-03-25,141.80996882522544,141.81869402026066,140.23856785983108,141.399658203125,6269800,0.0,0.0,JNJ
2021-03-26,141.50434492154412,144.13207932659853,140.88452335315262,143.98365783691406,7619200,0.0,0.0,JNJ
2021-03-29,143.02340820509409,145.81700195879168,142.84881109315782,144.95272827148438,8535100,0.0,0.0,JNJ
2021-03-30,144.06228160516363,144.62100036598997,143.37260501734153,144.0535430908203,7236300,0.0,0.0,JNJ
2021-03-31,144.00990106530608,144.38528418956523,142.9099139514372,143.4773712158203,8281500,0.0,0.0,JNJ
2021-04-01,141.9496351132038,143.03214528974962,141.65280534523805,142.15042114257812,7229700,0.0,0.0,JNJ
2021-04-05,142.85752995393253,143.8265592012659,142.00199481873446,142.6741943359375,7387100,0.0,0.0,JNJ
2021-04-06,143.24165356718566,143.6257751943022,142.29881320632836,142.6392822265625,5074200,0.0,0.0,JNJ
2021-04-07,142.7789668040218,143.41625224458758,142.57818079525006,142.8313446044922,4608000,0.0,0.0,JNJ
2021-04-08,143.17184727690963,143.26787770730974,142.1679036761972,142.2726593017578,5039400,0.0,0.0,JNJ
2021-04-09,141.5305925078401,142.2377195609517,139.48777806087173,140.77108764648438,8418300,0.0,0.0,JNJ
2021-04-12,140.6314048954457,141.49567869594813,139.97665564925197,141.11155700683594,5022800,0.0,0.0,JNJ
2021-04-13,136.93860774444173,139.61870743582654,136.65051650944295,139.22586059570312,18424100,0.0,0.0,JNJ
2021-04-14,137.78540575080373,139.77584200038976,137.5322286325773,139.60997009277344,7718300,0.0,0.0,JNJ
2021-04-15,140.30835484696271,141.76626110568898,139.88058068015312,140.020263671875,7524600,0.0,0.0,JNJ
2021-04-16,140.84963846128107,141.87104556947997,140.16870038914846,141.63534545898438,9049400,0.0,0.0,JNJ
2021-04-19,141.86232631392156,142.394856194767,140.41314489117408,142.0281982421875,8353500,0.0,0.0,JNJ
2021-04-20,140.5528375454943,146.48049483295281,140.5528375454943,145.3368682861328,14050700,0.0,0.0,JNJ
2021-04-21,145.2408005338043,145.71222732746565,144.29796026738566,145.432861328125,6333200,0.0,0.0,JNJ
2021-04-22,144.7781325369287,145.1622541793864,143.7130728268073,144.2019500732422,7233000,0.0,0.0,JNJ
2021-04-23,143.6344904369468,144.97017752540444,143.1718021420382,144.49876403808594,6015300,0.0,0.0,JNJ
2021-04-26,144.22817513279406,144.4027722740378,142.96231588673402,143.27659606933594,6027800,0.0,0.0,JNJ
2021-04-27,142.96231944038334,143.09327729025242,141.83615652859618,142.4559783935547,6217700,0.0,0.0,JNJ
2021-04-28,142.17664501971558,142.47346153978873,141.12031016533615,141.4084014892578,7448000,0.0,0.0,JNJ
2021-04-29,141.3385050588126,143.39878282768174,141.25993836123533,143.34640502929688,6394300,0.0,0.0,JNJ
2021-04-30,143.3027672179687,143.45991395025175,141.8797880382897,142.0631103515625,9079100,0.0,0.0,JNJ
2021-05-03,142.82262069818583,144.32417982275862,142.40357164883602,144.2281494140625,6594100,0.0,0.0,JNJ
2021-05-04,143.89640907828925,146.53286946402434,143.75672605844366,146.46302795410156,10179500,0.0,0.0,JNJ
2021-05-05,146.22731183384937,147.01300549444508,145.60747677025066,145.8519287109375,7792300,0.0,0.0,JNJ
2021-05-06,145.60746906764066,146.56777310948502,145.12733036762347,146.43682861328125,5529900,0.0,0.0,JNJ
2021-05-07,146.92571416747887,147.69394412365926,146.51540362820836,147.10031127929688,5316200,0.0,0.0,JNJ
2021-05-10,148.32250442737788,149.74549686488737,147.7375967761141,148.64552307128906,8357500,0.0,0.0,JNJ
2021-05-11,148.97728185002572,149.16934270579065,146.90827837399513,147.4320831298828,8217900,0.0,0.0,JNJ
