date,open,high,low,close,volume,dividends,stock_splits,symbol,daily_return,log_return,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_percent,true_range,atr_14,obv,volatility_20,volatility_20_annual,momentum_10,roc_10,momentum_20,roc_20,stoch_k,stoch_d,rsi_signal,ma_crossover,macd_crossover,bb_signal
2020-12-07,135.20700073242188,139.1999969482422,135.1999969482422,138.57400512695312,1532000,0.0,0.0,SHOP.TO,,,,,,138.57400512695312,138.57400512695312,,0.0,0.0,0.0,,,,,,4.0,,0,,,,,,,,,neutral,none,none,neutral
2020-12-08,138.64300537109375,141.5,138.39999389648438,141.19000244140625,1685000,0.0,0.0,SHOP.TO,0.018877980123736204,0.018702002344154586,,,,138.9764662522536,138.7677827058015,,0.2086835464521073,0.04173670929042146,0.16694683716168585,,,,,,3.100006103515625,,1685000,,,,,,,,,neutral,none,bullish,neutral
2020-12-09,140.02099609375,140.98500061035156,132.05799865722656,132.69500732421875,2589000,0.0,0.0,SHOP.TO,-0.06016711502440064,-0.06205320146402173,,,,138.01008795563286,138.31794749235092,,-0.30785953671806965,-0.028182539911276762,-0.27967699680679287,,,,,,9.132003784179688,,-904000,,,,,,,,,neutral,none,bearish,neutral
2020-12-10,130.00100708007812,136.5500030517578,129.99899291992188,135.9929962158203,1403000,0.0,0.0,SHOP.TO,0.024853903384197906,0.024550069147828334,,,,137.69976614950787,138.1457288792746,,-0.4459627297667339,-0.1117385778823682,-0.3342241518843657,,,,,,6.5510101318359375,,499000,,,,,,,,,neutral,none,none,neutral
2020-12-11,136.47900390625,137.49200439453125,132.6300048828125,134.96600341796875,1456000,0.0,0.0,SHOP.TO,-0.007551806537314132,-0.0075804658056385105,,,,137.27918726773262,137.9101936599186,,-0.6310063921859808,-0.21559214074309074,-0.41541425144289,,,,,,4.86199951171875,,-957000,,,,,,,,,neutral,none,none,neutral
2020-12-14,135.3090057373047,137.75900268554688,132.4510040283203,135.0260009765625,1887000,0.0,0.0,SHOP.TO,0.00044453830649437975,0.00044443952861402623,,,,136.93254322293723,137.6965497574478,,-0.7640065345105711,-0.3252750194965869,-0.4387315150139842,,,,,,5.3079986572265625,,930000,,,,,,,,,neutral,none,none,neutral
2020-12-15,134.02099609375,138.2729949951172,133.89999389648438,136.15699768066406,1996000,0.0,0.0,SHOP.TO,0.008376140120582187,0.008341254925739101,,,,136.81322852412598,137.58250886287124,,-0.7692803387452614,-0.41407608334632184,-0.3552042553989395,,,,,,4.3730010986328125,,2926000,,,,,,,,,neutral,none,none,neutral
2020-12-16,136.4810028076172,148.41099548339844,136.4810028076172,147.46800231933594,3563000,0.0,0.0,SHOP.TO,0.08307325243172703,0.07980260417259187,,,,138.45242449261983,138.31476763742418,,0.13765685519564386,-0.3037294956379287,0.4413863508335726,,,,,,12.253997802734375,,6489000,,,,,,,,,neutral,none,bullish,neutral
2020-12-17,148.0,153.4250030517578,146.5919952392578,150.677001953125,3257000,0.0,0.0,SHOP.TO,0.021760650333081166,0.021527267027284178,,,,140.33312871731295,139.23048869784648,,1.1026400194664632,-0.02245559261705035,1.1250956120835136,,,,,,6.8330078125,,9746000,,,,,,,,,neutral,none,none,neutral
2020-12-18,150.56700134277344,150.99899291992188,148.49600219726562,150.0919952392578,6332000,0.0,0.0,SHOP.TO,-0.003882521594431365,-0.003890078146723265,,,,141.83449279761217,140.035044737951,,1.7994480596611595,0.34192513783859163,1.4575229218225678,,,,,,2.50299072265625,,3414000,,,,,,,,,neutral,none,none,neutral
2020-12-21,148.52000427246094,154.5,147.45599365234375,153.74400329589844,2043000,0.0,0.0,SHOP.TO,0.024331797647296538,0.024040495273741375,,,,143.6667251819639,141.05052314965084,,2.616202032313055,0.7967805167334843,1.8194215155795705,,,,,,7.04400634765625,,5457000,,,15.169998168945312,10.947217809752608,,,,,neutral,none,none,neutral
2020-12-22,155.11099243164062,165.87899780273438,154.8000030517578,164.92300415039062,2896000,0.0,0.0,SHOP.TO,0.07271178462145866,0.07018982050427675,,,,146.93692194633724,142.81885507563157,,4.118066870705661,1.4610377875279197,2.6570290831777417,,,,,,12.134994506835938,,8353000,,,23.733001708984375,16.809265031944133,,,,,neutral,none,none,neutral
2020-12-23,163.02099609375,164.0,153.97799682617188,154.24600219726562,3078000,0.0,0.0,SHOP.TO,-0.06473931279707235,-0.06692997871098796,,,,148.06139583109544,143.66531041797484,,4.396085413120602,2.0480473126464562,2.3480381004741457,,,,,,10.94500732421875,,5275000,,,21.550994873046875,16.2409990455711,,,,,neutral,none,none,neutral
2020-12-24,155.61099243164062,159.0,155.31100463867188,156.81900024414062,911000,0.0,0.0,SHOP.TO,0.016681132802290666,0.016543530835839176,,,,149.40871958694854,144.63965781250565,65.25170004163367,4.769061774442889,2.592250205005743,2.176811569437146,,,,,,4.753997802734375,6.6995729718889505,6186000,,,20.826004028320312,15.314026904201405,,,74.74917412028074,,neutral,none,none,neutral
2020-12-29,149.86199951171875,153.5970001220703,147.0189971923828,150.0330047607422,2467000,0.0,0.0,SHOP.TO,-0.043272788838302656,-0.04423697397050963,,,,149.50476345983986,145.0391649938565,58.602983849035574,4.465598465983362,2.966919857201267,1.498678608782095,,,,,,9.800003051757812,7.113858904157366,3719000,,,15.067001342773438,11.163553014245586,,,55.83614580391863,,neutral,none,none,neutral
2020-12-30,150.77099609375,151.0,146.46400451660156,148.2480010986328,1069000,0.0,0.0,SHOP.TO,-0.011897406607005667,-0.011968747158620003,,,,149.31141540426955,145.27685655717326,55.36583119324035,4.034558847096292,3.1804476551802723,0.85411119191602,,,,,,4.5359954833984375,7.216429574148996,2650000,,,13.222000122070312,9.792188190751027,,,50.86121988643516,60.482179936878175,neutral,none,none,neutral
2020-12-31,148.11199951171875,148.11199951171875,143.65499877929688,143.73199462890625,1469000,0.0,0.0,SHOP.TO,-0.030462511711857432,-0.030936137395491184,,,,148.45304297729058,145.16242234026458,58.93119086166754,3.290620637025995,3.202482251549417,0.08813838547657804,,,,,,4.5930023193359375,6.892215183803013,1181000,,,7.5749969482421875,5.563428305027851,,,38.27480445958037,48.32405671664472,neutral,none,none,neutral
2021-01-04,145.25,145.30599975585938,137.8679962158203,139.61900329589844,1609000,0.0,0.0,SHOP.TO,-0.02861569787316265,-0.02903310925167773,,,,147.0939599493841,144.75179870734857,52.89598656142512,2.34216124203553,3.0304180496466397,-0.6882568076111095,,,,,,7.4380035400390625,6.955571855817523,-428000,,,-7.8489990234375,-5.322509900446615,,,21.44310339397198,36.859709246662504,neutral,none,bearish,neutral
2021-01-05,140.0989990234375,141.7570037841797,138.3820037841797,141.25599670410156,1597000,0.0,0.0,SHOP.TO,0.011724717764485026,0.01165651584237824,,,,146.19581175780218,144.49285041081177,54.975158063654156,1.7029613469904064,2.764926709115393,-1.0619653621249867,,,,,,3.375,6.849357604980469,1169000,,,-9.421005249023438,-6.252450690487111,,,26.340176844596137,28.686028232716165,neutral,none,none,neutral
2021-01-06,139.3249969482422,140.64300537109375,136.85699462890625,137.60499572753906,1763000,0.0,0.0,SHOP.TO,-0.025846697214635728,-0.02618659266806217,144.6531509399414,,,144.8741477531463,143.98263895279158,51.930240584285585,0.8915088003547282,2.3902431273632603,-1.498734327008532,144.6531509399414,162.19863394299472,127.1076679368881,0.2425869452416978,0.2991461616880022,4.3990020751953125,6.784429277692523,-594000,,,-12.48699951171875,-8.319563939311713,,,11.585732444688745,19.789670894418954,neutral,none,none,neutral
