date,open,high,low,close,volume,dividends,stock_splits,symbol,daily_return,log_return,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_percent,true_range,atr_14,obv,volatility_20,volatility_20_annual,momentum_10,roc_10,momentum_20,roc_20,stoch_k,stoch_d,rsi_signal,ma_crossover,macd_crossover,bb_signal
2021-01-04,57.90964474605927,57.96579736169179,57.476464802532924,57.70909881591797,8546700,0.0,0.0,TD.TO,0.00027816922990764326,0.0002781305480206504,,,,57.60928506435857,57.46361577492402,43.91674980491322,0.14566928943455082,0.14175780574076177,0.003911483693789047,,,,,,0.48933255915886775,0.578143206712822,-21914700,,,-0.06416702270507812,-0.11106698188797504,,,64.21043745826502,65.26280517176095,neutral,none,none,neutral
2021-01-05,57.773271128855185,58.17436300487388,57.52459612418002,58.00590515136719,19248400,0.0,0.0,TD.TO,0.005143146254908304,0.0051299654527538424,,,,57.67030353928297,57.503785358364254,56.575231303063,0.16651818091871462,0.14670988077635236,0.019808300142362262,,,,,,0.6497668806938606,0.5821531445431977,-2666300,,,0.2727470397949219,0.472427022384303,,,83.68416244231408,70.35069521516905,neutral,none,none,neutral
2021-01-06,58.358866693260794,59.97927514430611,58.318755058459544,59.65038299560547,22115500,0.0,0.0,TD.TO,0.02835017986439481,0.027955750919131214,57.73035526275635,,,57.97493114794797,57.662792590752495,76.0236010623259,0.3121385571954747,0.17979561606017683,0.13234294113529785,57.73035526275635,58.80809517979608,56.65261534571662,0.03733702701583797,1.3907658065235895,1.9733699929389203,0.6698202047474388,19449200,,,2.069629669189453,3.594308079745079,,,89.87660230321308,79.25706740126405,overbought,none,none,overbought
2021-01-07,60.007136100568346,60.46118080729145,59.79632697849183,60.047672271728516,10940400,0.79,0.0,TD.TO,0.006660297154375661,0.006638215368560538,57.883382606506345,,,58.29381439776036,57.839450344898864,77.20246300729453,0.45436405286149295,0.23470930342044005,0.2196547494410529,57.883382606506345,59.324614239105514,56.442150973907175,0.049797768122734724,1.2508472671110513,0.8107978116859798,0.6864794456465084,30389600,0.00787516298044441,0.12501433668214876,2.6915245056152344,4.692652157517152,3.060546875,5.370593539669399,88.91617123977625,87.49231199510113,overbought,none,none,overbought
2021-01-08,60.24227988206512,60.47740580386304,59.86120392083284,60.088226318359375,4674000,0.0,0.0,TD.TO,0.0006753641747734296,0.000675136219018805,58.01918449401855,,,58.569877770160204,58.006026342932984,76.99161411589724,0.5638514272272204,0.30053772818179614,0.26331369904542423,58.01918449401855,59.741950283463865,56.29641870457324,0.05938607391570348,1.1005000322786194,0.6162018830302003,0.689811746050639,35063600,0.00782541809672347,0.12422466113420817,3.1251487731933594,5.486270945798943,2.7160377502441406,4.734066832781747,89.61346677462147,89.46874677253693,overbought,none,none,overbought
2021-01-11,59.828773762361386,60.444981856998716,59.828773762361386,60.161197662353516,7830200,0.0,0.0,TD.TO,0.0012144033609433613,0.001213666569629397,58.12454319000244,,,58.81469621511302,58.16566866289006,78.0947697935849,0.6490275522229538,0.3702356929900277,0.27879185923292615,58.12454319000244,60.096057536028155,56.15302884397673,0.06783758590862592,1.0165203277512724,0.6162080946373294,0.7040314096690159,42893800,0.007497624089513894,0.11902109258820506,2.620555877685547,4.554269463125471,2.1071739196777344,3.629677641325557,91.5609468374896,90.03019495062911,overbought,none,none,overbought
2021-01-12,60.33146013609717,60.98820429698369,60.22605247558264,60.64767074584961,14619900,0.0,0.0,TD.TO,0.008086160222845917,0.008053642407830052,58.25502681732178,,,59.0966922967648,58.349520669035215,82.94057393841061,0.7471716277295855,0.44562287993793925,0.3015487477916462,58.25502681732178,60.52523617314406,55.984817461499496,0.07794037630233305,1.026965480604586,0.8270066346301732,0.71955650545972,57513700,0.007607491676808748,0.12076518646697824,3.0027427673339844,5.209032039129458,2.6096725463867188,4.496489588455299,92.0020506857738,91.05882143262829,overbought,none,none,overbought
2021-01-13,60.72062506588027,60.80981328690593,60.363872181777644,60.49360275268555,8577200,0.0,0.0,TD.TO,-0.002540377746899858,-0.002543609981673613,58.39665908813477,,,59.31160159767568,58.50834156412043,84.21665284074788,0.8032600335552544,0.5171503106614024,0.28610972289385206,58.39665908813477,60.85635096588754,55.936967210381994,0.08424084240985434,0.9262614524032557,0.4459411051282842,0.6929651614377954,48936500,0.007417751404147125,0.11775315301604078,2.624073028564453,4.534464062649346,2.8326454162597656,4.912588252277095,88.38352911523536,90.64884221283292,overbought,none,none,neutral
2021-01-14,60.32334806290179,61.442246623875945,60.32334806290179,61.296302795410156,6692900,0.0,0.0,TD.TO,0.013269172378544969,0.01318190801373272,58.586046409606936,,,59.61694024348099,58.71485721088263,93.38153465660376,0.9020830325983624,0.5941368550487944,0.307946177549568,58.586046409606936,61.32522629714438,55.84686652206949,0.09350963430392106,0.9947204084941955,1.1188985609741522,0.7230367700456115,55629400,0.007693604382468015,0.1221321832903622,3.5230369567871094,6.098040167277263,3.7877464294433594,6.586404995700645,96.70036202982122,92.3619806102768,overbought,none,none,neutral
2021-01-15,61.093612139045405,61.239555988441715,60.86658974796143,61.150367736816406,8226600,0.0,0.0,TD.TO,-0.0023808133922993413,-0.002383652034917762,58.75891227722168,,,59.852852165532596,58.89526539798884,89.5569868955473,0.9575867675437593,0.6668268375477875,0.2907599299959718,58.75891227722168,61.69042546550103,55.827399088942336,0.09978105702326859,0.9078875491940717,0.42971304744872896,0.7107570754182458,47402800,0.007794973775267464,0.12374137251376797,3.457317352294922,5.992606265836287,3.457317352294922,5.992606265836287,92.92623506270098,92.67004206925253,overbought,none,none,neutral
2021-01-18,61.150367736816406,61.29631158621271,61.08550242910778,61.150367736816406,2590400,0.0,0.0,TD.TO,0.0,0.0,58.92776737213135,,,60.05246994573011,59.06231001567977,89.31271518827049,0.9901599300503392,0.7314934560482979,0.25866647400204135,58.92776737213135,62.0056246214383,55.8499101228244,0.10446203501551833,0.8610629383779129,0.21080915710493286,0.6971654511141523,47402800,0.007815719240402702,0.12407069656324916,3.4412689208984375,5.963130583403298,3.3771018981933594,5.845440532350299,92.64006694748795,94.08888801333671,overbought,none,none,neutral
2021-01-19,61.40981907690305,61.661170582635904,60.72875194473985,60.793617248535156,9073100,0.0,0.0,TD.TO,-0.005833987619120462,-0.005851071803240876,59.08079032897949,,,60.16649260770012,59.19055499589128,81.84896616713175,0.9759376118088383,0.780382287200406,0.19555532460843228,59.08079032897949,62.212418756665755,55.94916190129322,0.10601173106346153,0.7734722460067127,0.9324186378960562,0.7328259813644772,38329700,0.008020997213217473,0.12732938335749336,2.7877120971679688,4.805910863546381,3.0604591369628906,5.301042307521775,79.26847478200968,88.27825893073286,overbought,none,none,neutral
2021-01-20,60.939545717232235,60.939545717232235,60.34766079471972,60.688194274902344,5805100,0.0,0.0,TD.TO,-0.0017341125335875729,-0.0017356178472343697,59.23616237640381,,,60.246754402654304,59.301491238781,81.68598599918559,0.9452631638733067,0.8133584625349862,0.13190470133832044,59.23616237640381,62.36277264336884,56.10955210943878,0.10556424121797896,0.7322054516740273,0.5918849225125129,0.7401511520047076,32524600,0.007992266146895731,0.12687329181915916,1.037811279296875,1.7398233291701315,3.107440948486328,5.396666019408847,76.7492302001309,82.88592397654283,overbought,none,none,neutral
2021-01-21,60.655767703435416,60.68009064218425,60.25036889523516,60.39631271362305,3549500,0.0,0.0,TD.TO,-0.004809527862324359,-0.004821130859695581,59.388170623779295,,,60.26976337357257,59.382589125806334,78.0923891240127,0.8871742477662394,0.8281216195812369,0.059052628185002565,59.388170623779295,62.424231076395785,56.352110171162806,0.10224461944954528,0.6660280000312462,0.4378253796671814,0.7250124762505129,28975100,0.00803401467717427,0.12753602919147594,0.34864044189453125,0.5806060896363485,3.0401649475097656,5.30050407134548,69.77427003286881,75.2639916716698,overbought,none,none,neutral
2021-01-22,60.08009741821036,60.266583577125886,59.593620123766655,59.658485412597656,5253400,0.0,0.0,TD.TO,-0.01221642957781044,-0.012291663508174224,59.52294101715088,,,60.175720610345664,59.403025887790875,67.6154993781386,0.7726947225547889,0.8170362401759472,-0.044341517621158344,59.52294101715088,62.33691487175014,56.708967162551616,0.09455090109839989,0.5240841604169918,0.8026925898563917,0.7473953355860503,23721700,0.008445680653901859,0.13407102397736215,-0.42974090576171875,-0.7151832099101529,2.6954078674316406,4.731850847234242,51.58590301827134,66.03646775042368,neutral,none,bearish,neutral
2021-01-25,59.24499260837484,59.682824145018444,58.993647280001966,59.60174560546875,6429600,0.0,0.0,TD.TO,-0.0009510768960441229,-0.000951529456644592,59.62599620819092,,,60.087416763441524,59.41774586687812,65.07475035169853,0.6696708965634031,0.7875631714534385,-0.1178922748900354,59.62599620819092,62.28076052625762,56.971231890124216,0.08904721050856051,0.49543262606078914,0.6891768650164778,0.7502103344662372,17292100,0.008269438080029348,0.1312732598520306,-0.5594520568847656,-0.9299217412934713,2.0611038208007812,3.5819965799372966,38.38513008718032,53.24843437944016,neutral,none,none,neutral
2021-01-26,59.690935208408995,59.92606730856265,59.41526074461304,59.82065963745117,2513100,0.0,0.0,TD.TO,0.003672946652125253,0.0036662178548795797,59.7347827911377,,,60.046377205596855,59.44759133136501,52.20136331938977,0.5987858742318437,0.7498077120091196,-0.15102183777727585,59.7347827911377,62.22067971213904,57.248885870136355,0.08323113619390782,0.5172728091796508,0.5108065639496076,0.6457415181098577,19805200,0.008280121699419983,0.13144285705208872,-0.8270111083984375,-1.363632103636947,2.175731658935547,3.774367902318221,31.00300404621043,40.32467905055403,neutral,none,none,neutral
2021-01-27,59.39093228125689,59.51255317498466,58.8963451830874,59.163909912109375,8526500,0.0,0.0,TD.TO,-0.01097864398891768,-0.011039354052539498,59.79950180053711,,,59.91061300659878,59.426577892901626,39.29288774477407,0.48403511369715346,0.6966531923467263,-0.21261807864957283,59.79950180053711,62.14432599864714,57.454677602427076,0.0784228673319473,0.3644691809006341,0.924314454363774,0.6538498497297002,11278700,0.008745086476458287,0.1388239440627764,-1.3296928405761719,-2.198071829202042,1.2943801879882812,2.23672145628091,9.677454824658014,26.355196319349588,neutral,none,none,neutral
2021-01-28,59.196351309985886,60.193629176946146,58.92878654142717,59.877418518066406,4030400,0.0,0.0,TD.TO,0.012059862287955303,0.011987721574289976,59.90470943450928,,,59.90550616220918,59.459973494765684,47.804058886921474,0.4455326674434943,0.64642908736608,-0.20089641992258567,59.90470943450928,62.04679491055691,57.762623958461646,0.0715164298856825,0.4936298255256305,1.2648426355189741,0.7001813320503268,15309100,0.009046514421482632,0.1436089643472144,-1.41888427734375,-2.3147958565781446,2.1041526794433594,3.6420871295745227,35.48409730101643,25.38818539062829,neutral,none,none,neutral
2021-01-29,59.1963417521424,59.56119824243343,58.588243477727,58.75040054321289,4794600,0.0,0.0,TD.TO,-0.01882208690265208,-0.01900147694354774,59.95757694244385,,,59.72779760544052,59.4074125353914,37.95012081418596,0.3203850700491202,0.581220283902688,-0.2608352138535678,59.95757694244385,61.913976007430136,58.001177877457565,0.06525944391863357,0.19148002040181358,1.2891750403394084,0.7482503996004753,10514500,0.010145938677487577,0.16106178334766216,-2.3999671936035156,-3.924697892141349,1.0573501586914062,1.83271668189533,5.276957765345357,16.812836630339934,neutral,none,none,neutral
2021-02-01,58.92877907448695,59.18012439049268,58.69364699123497,58.98553466796875,2679900,0.0,0.0,TD.TO,0.004002255688161815,0.003994267968370013,60.02139873504639,,,59.61360330736794,59.37616232298972,35.16651789574597,0.23744098437821748,0.5124644239977939,-0.2750234396195764,60.02139873504639,61.73747504642207,58.30532242367071,0.05718214995125284,0.198188227350086,0.4864773992577085,0.7239268827881565,13194400,0.01016697363823367,0.1613957029974952,-2.1648330688476562,-3.540179967788304,1.2764358520507812,2.2118450612482965,12.928754138264189,17.89660306820866,neutral,none,none,neutral
2021-02-02,59.44767418410982,60.136850842004826,59.35037625435396,59.917938232421875,3027600,0.0,0.0,TD.TO,0.015807325807956962,0.01568369121956235,60.11700038909912,,,59.66042406506854,59.416293871836544,45.48921916595376,0.24413019323199592,0.4587975778446343,-0.2146673846126384,60.11700038909912,61.54999917488526,58.68400160331298,0.04767366224233577,0.43054350127448354,1.1513161740360758,0.7743108162815702,16222000,0.010655681886109738,0.1691537059227723,-0.8756790161132812,-1.4404127534200617,1.9120330810546875,3.296273157129792,43.27127553955741,20.49232914772232,neutral,none,none,neutral
